71.4451;61.8534;63.5371;47;62.7482;-0.921148;175;globalne;62.7472;-0.921148;21;globalne;
19.8964;-2.86977;1.10048;56;2.53245e-13;-7.15717e-18;179;lokalne;2.82257e-13;-7.15717e-18;17;lokalne;
49.8794;61.5085;63.9737;51;62.7482;-0.921148;177;globalne;62.7483;-0.921148;21;globalne;
70.142;62.2341;63.6256;45;62.7482;-0.921148;175;globalne;62.2123;-0.91685;25;globalne;
78.3805;61.3033;64.2862;53;62.7482;-0.921148;179;globalne;62.7481;-0.921148;21;globalne;
34.8373;-1.89496;4.49915;61;2.08905e-13;-7.15717e-18;181;lokalne;2.30926e-13;-7.15717e-18;41;lokalne;
45.8342;61.3489;64.6301;54;62.7482;-0.921148;179;globalne;62.7451;-0.921148;21;globalne;
22.1373;-2.91649;1.45078;57;2.26594e-13;-7.15717e-18;179;lokalne;2.10531e-13;-7.15717e-18;45;lokalne;
89.5554;59.2172;64.5016;59;62.7482;-0.921148;181;globalne;62.7576;-0.921147;25;globalne;
34.285;-2.44728;3.94684;61;2.53245e-13;-7.15717e-18;181;lokalne;1.96012e-13;-7.15717e-18;45;lokalne;
98.9768;58.5603;65.5939;62;62.7482;-0.921148;181;globalne;62.7479;-0.921148;25;globalne;
59.5864;62.5677;63.2168;37;62.7482;-0.921148;171;globalne;62.7481;-0.921148;21;globalne;
61.0855;62.5618;62.8949;30;62.7482;-0.921148;169;globalne;63.2967;-0.916634;21;globalne;
53.1206;61.8303;63.6825;48;62.7482;-0.921148;177;globalne;62.7489;-0.921148;25;globalne;
18.3951;-2.29143;1.31788;55;2.26765e-13;-7.15717e-18;179;lokalne;2.46321e-13;-7.15717e-18;37;lokalne;
66.8496;62.4337;63.2192;39;62.7482;-0.921148;173;globalne;62.7532;-0.921148;25;globalne;
69.3496;62.1706;63.4356;44;62.7482;-0.921148;175;globalne;62.6939;-0.921104;21;globalne;
97.6702;60.9379;67.332;61;62.7482;-0.921148;181;globalne;62.7481;-0.921148;25;globalne;
30.6;-2.78301;3.02982;60;2.44422e-13;-7.15717e-18;181;lokalne;2.37709e-13;-7.15717e-18;41;lokalne;
75.1919;61.0976;63.5628;51;62.7482;-0.921148;177;globalne;62.7482;-0.921148;21;globalne;
14.9552;-2.122;0.860902;53;1.91191e-13;-7.15717e-18;179;lokalne;2.05191e-13;-7.15717e-18;33;lokalne;
