-4.93;4.44;
-2.541;5.892;
-1.9273;5.6624;
-1.52861;5.30212;
-1.18515;4.9625;
-0.877578;4.65531;
-0.600914;4.37869;
-0.351932;4.12971;
-0.12785;3.90563;
0.0738239;3.70395;
0.25533;3.52245;
0.418686;3.35909;
0.565707;3.21207;
0.698025;3.07975;
0.817111;2.96067;
0.924289;2.85349;
1.02075;2.75703;
1.10756;2.67021;
1.1857;2.59208;
1.25601;2.52176;
1.3193;2.45848;
1.37626;2.40152;
1.42752;2.35025;
1.47366;2.30412;
1.51518;2.26259;
1.55255;2.22522;
1.58619;2.19159;
1.61646;2.16132;
1.6437;2.13408;
1.66822;2.10956;
1.69029;2.08749;
1.71015;2.06763;
1.72802;2.04976;
1.74411;2.03367;
1.75859;2.01919;
1.77162;2.00616;
1.78334;1.99443;
1.7939;1.98388;
1.8034;1.97438;
1.81195;1.96583;
1.81964;1.95814;
1.82657;1.95121;
1.8328;1.94498;
1.83841;1.93937;
1.84345;1.93432;
1.848;1.92978;
1.85209;1.92569;
1.85577;1.92201;
1.85908;1.9187;
1.86206;1.91572;
1.86474;1.91303;
1.86716;1.91062;
1.86933;1.90845;
1.87129;1.90649;
1.87305;1.90473;
1.87463;1.90315;
1.87606;1.90172;
1.87734;1.90044;
1.8785;1.89928;
1.87953;1.89824;
1.88047;1.89731;
1.88131;1.89647;
1.88207;1.89571;
1.88275;1.89503;
1.88337;1.89441;
1.88392;1.89386;
1.88441;1.89336;
1.88486;1.89292;
1.88526;1.89251;
1.88563;1.89215;
1.88595;1.89182;
1.88625;1.89153;
1.88651;1.89127;
1.88675;1.89103;
1.88696;1.89081;
1.88716;1.89062;
1.88733;1.89045;
1.88748;1.89029;
1.88763;1.89015;
1.88775;1.89003;
1.88787;1.88991;
1.88797;1.88981;
1.88806;1.88972;
1.88814;1.88964;
1.88822;1.88956;
