-2.13036;1.32255;0.999376;3.00062;7.79729e-07;1;67;0.99989;3.00012;2.59199e-08;1;27;0.998337;2.99911;2.96642e-05;1;147;147;
6.35467;8.74698;0.999403;3.0006;7.12697e-07;1;55;0.999852;3.00014;4.17872e-08;1;23;1.00125;3.00134;3.0335e-05;1;163;163;
-4.46976;-5.61514;1.00058;2.99942;6.77161e-07;1;75;1.00011;2.99988;2.67212e-08;1;29;0.99901;2.99844;2.93935e-05;1;168;168;
3.22424;8.63277;0.999369;3.00063;7.95208e-07;1;75;0.999881;3.00012;2.91552e-08;1;29;1.00067;3.0017;2.59045e-05;1;158;158;
6.28558;-8.78497;1.00059;2.99941;6.8486e-07;1;91;1.00016;2.99985;4.7849e-08;1;32;1.00074;2.99835;6.5832e-06;1;173;173;
7.19122;4.35604;1.00059;2.99941;6.88829e-07;1;79;1.00012;2.99989;2.59282e-08;1;30;1.00178;3.00039;2.20935e-05;1;159;159;
2.40401;9.02142;0.999377;3.00062;7.7553e-07;1;78;0.999894;3.00011;2.3833e-08;1;30;1.00042;3.00182;2.36366e-05;1;158;158;
1.51331;-4.45692;1.00063;2.99937;8.05691e-07;1;83;1.00011;2.99988;2.64897e-08;1;31;1.00013;2.99816;1.50718e-05;1;162;162;
5.20523;4.41723;1.00057;2.99943;6.5682e-07;1;74;1.00014;2.99985;4.06151e-08;1;28;1.00173;3.00058;2.47029e-05;1;152;152;
-6.04636;7.54375;0.999394;3.00061;7.33401e-07;1;87;0.999857;3.00014;4.01498e-08;1;31;0.998435;3.00101;4.70607e-06;1;164;164;
-5.09332;8.3895;0.9994;3.0006;7.19886e-07;1;87;0.999881;3.00012;2.90275e-08;1;31;0.998646;3.0012;3.36396e-06;1;164;164;
-9.69202;-6.55175;0.999395;3.0006;7.32003e-07;1;65;0.999866;3.00013;3.50952e-08;1;26;0.998649;2.99879;2.94585e-05;1;175;175;
